NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,numbering_guide,location
3,FDSP050 NA,COVER PART FOR REAR BUMPER,Ford,FOCUS 5D,8M51-A17K922-AAW,1,6.711409792,9.613592022,2.386105952,2009,2010,,,,,
4,FDL049 LA,TAIL LAMP LH LONG CLR (5DRS),Ford,FOCUS,8M51-13405-AD,1,0.660640198,1.018793118,0.034274824,2009,2010,,,,,
,FDL049 RA,TAIL LAMP RH LONG CLR (5DRS),Ford,FOCUS,8M51-13404-AD,1,0.829425613,1.128803101,0.027098839,2009,2010,,,,,
5,FDBL050 LA,REAR BUMPER LAMP LH RED/RED,Ford,FOCUS 5D,8M51-15K273-AA,1,10.77935555,6.194816148,0.398842548,2009,2010,,,,,
,FDBL050 RA,REAR BUMPER LAMP RH RED/CLEAR,Ford,FOCUS 5D,8M51-15500-AA,1,8.616315941,2.805602469,2.349369613,2009,2010,,,,,
1,FDB051 NA,FRONT BUMPER,Ford,FOCUS,8M59-17757-ABXWAA,1,4.286238458,3.328647596,0.496901736,2010,2010,,,,,
2,FDBF051 NA,FRONT BUMPER FINISHER,Ford,FOCUS,8M59-17B968-AB,1,20.38685626,5.939181481,1.257952264,2010,2010,,,,,
3,FDFC051 RA,FOG LAMP COVER RH W/O HOLE,Ford,FOCUS,8M59-19952-BB,1,10.11636659,8.800374387,1.31695326,2010,2010,,,,,
,FDFC051 LA,FOG LAMP COVER LH W/O HOLE,Ford,FOCUS,8M59-19953-BB,1,30.46347682,4.677247561,0.646157387,2010,2010,,,,,
4,FDFC051 RB,FOG LAMP COVER RH W/ HOLE,Ford,FOCUS,8M51-19952-BB,1,16.21766486,7.889602615,1.000073267,2010,2010,,,,,
,FDFC051 LB,FOG LAMP COVER LH W/ HOLE,Ford,FOCUS,8M51-19953-BB,1,7.374989761,8.888536461,0.577107321,2010,2010,,,,,
5,FDBR051 NA,FRONT BUMPER SUPPORT,Ford,FOCUS,8M51-17E778-AC,1,2.160797195,9.691429957,2.511823424,2010,2010,,,,,
1,BM51-82-00BE,GRILLE H,Ford,FOCUS,BM5Z-82-00A,1,0.242744918,0.619798678,0.010539405,2011,2015,,,,,
2,BM51-82-00CC5,UGRILLE,Ford,FOCUS,BM51-82-00CC5UAW,1,1.150188582,1.413270811,0.020680622,2013,2014,,,,,
3,PF1E-BA-40410A,TAIL GATE,Ford,FOCUS,PF1E-BA-40410AC,1,12.64618212,20.54975008,0.620711678,2015,2015,,,,,
1,F1EJ-82-00A3,GRILLE ASSY RADIATOR,Ford,FOCUS,F1EJ-82-00A3B5UAW,1,0.794818373,1.752761667,0.061937737,2016,2016,,,,,
2,F1EJ-17-K945A3,GRILLE BUMPER,Ford,FOCUS,F1EJ-17-K945A3C5UAW,1,0.613270154,2.054622168,0.098761066,2016,2016,,,,,
3,F1EJ-17-D752B3,INSERT,Ford,FOCUS,F1EJ-17-D752B3B5UAW,1,7.588407497,0.666339163,1.054849653,2016,2016,,,,,
4,F1EB-15-A255AB,LP&BRKT ASY FOG LH,Ford,FOCUS,F1EB-15-A255AB,1,0.524587718,0.62216529,0.002714596,2016,2016,,,,,
,F1EB-15-A254AB,LP&BRKT ASY FOG RH,Ford,FOCUS,F1EB-15-A254AB,1,0.520414598,0.655200232,0.003026135,2016,2016,,,,,
5,F1EJ-15-A299A3B5UAW,BRACKET FOG LAMP,Ford,FOCUS,F1EJ-15-A299A3B5UAW,1,0.176117858,0.474098808,0.010304897,2016,2016,,,,,
,F1EJ-15-A298A3B5UAW,BRACKET FOG LAMP,Ford,FOCUS,F1EJ-15-A298A3B5UAW,1,0.19038355,0.522051122,0.010306405,2016,2016,,,,,
6,F1EB-13-404KF,TAIL LAMP RH,Ford,FOCUS,F1EB-13-404KF,1,1.423075594,2.599302577,0.048519809,2016,2016,,,,,
,F1EB-13-405KF,TAIL LAMP LH,Ford,FOCUS,F1EB-13-405KF,1,1.48293984,2.930739455,0.060661173,2016,2016,,,,,
7,BM51-A4-0352AB35B8,PANEL BACK TRIM LOW,Ford,FOCUS,BM51-A4-0352AB35B8,1,0.764023588,2.301851215,0.100935488,2016,2016,,,,,
1,FDP029 NA,VALENCE PANEL BK,Ford,RANGER,UH78-50-03YAA(UH77-50-032,5,4.045425264,6.725009132,0.122729263,1999,1999,,,,,
2,UH71-50-032B,LOWER APRON,Ford,RANGER,UH71-50-032A,1,1.994833258,3.886135829,0.031651056,1999,2002,,,,,
3,UH77-50-032A,LOWER APRON,Ford,RANGER,UH77-50-032A,1,3.570773592,5.005393091,0.056370589,1999,2002,,,,,
4,UH77-50-032B,LOWER APRON,Ford,RANGER,UH77-50-032B,1,4.03917566,4.542290752,0.057625271,1999,2002,,,,,
5,FDIB029 NA,F.BUMPER BK,Ford,RANGER,UH77-50-03XF,1,2.71823192,5.001345172,0.018038405,1999,1999,,,,,
6,FDIB031 NA,FRONT BUMPER 2WD W/O HOLE BK,Ford,RANGER,UM46-50-03X,1,4.013817834,5.327552476,0.0396991,2002,2005,,,,,
7,UDY150221A,REAR BUMPER 4X4,Ford,RANGER,UDY150221A,1,2.525807748,3.37645557,0.045099031,2010,2010,,,,,
8,FDG029 NA,GRILLE CP/SVG,Ford,RANGER,UH78-50-710,5,7.626142609,10.29579527,0.15764423,1999,1999,,,,,
9,FDG029 NB,GRILLE GYM,Ford,RANGER,UH77-50-710B,5,7.539346643,10.45170678,0.141092575,1999,1999,,,,,
10,FDHL029 LA,HEAD LAMP LH,Ford,RANGER,UH77-51-040B,1,3.864097611,9.691550218,0.272174559,1999,2001,,,,,
,FDHL029 RA,HEAD LAMP RH,Ford,RANGER,UH77-51-030B,1,5.1227201,16.0798862,1.870489438,1999,2001,,,,,
11,FDHL029 LB,HEAD LAMP LH 3 LEGS( LHD ),Ford,RANGER,FDHL029 LB,1,5.233677361,22.74528656,0.875627455,1999,1999,,,,,
,FDHL029 RB,HEAD LAMP RH 3 LEGS( LHD ),Ford,RANGER,FDHL029 RB,1,1.121915182,1.589215929,0.11594844,1999,1999,,,,,
12,FDHL029 LC,HEAD LAMP LH 4 LEGS (LHD),Ford,RANGER,B0B2-964NM-0O,1,16.74919561,10.58439455,1.475211953,1999,1999,,,,,
,FDHL029 RC,HEAD LAMP RH 4 LEGS (LHD),Ford,RANGER,JON4-HSE5L-9B,1,10.71856096,1.204286716,0.286498517,1999,1999,,,,,
13,UH77-51-07X,CORNER LAMP LH,Ford,RANGER 4WD,UH77-51-07X,1,0.1929787,0.431011768,0.008621077,1999,2002,,,,,
,UH77-51-06X,CORNER LAMP RH,Ford,RANGER 4WD,UH77-51-06X,1,0.253923369,0.42722134,0.009150578,1999,2002,,,,,
14,FDSL029 LA,SIDE LAMP LH,Ford,RANGER,UH81-51-120,20,0.384720538,0.397887415,0.00712184,1999,2001,,,,,
,FDSL029 RA,SIDE LAMP RH,Ford,RANGER,UH81-51-120,20,0.421079287,0.436682259,0.007335267,1999,2001,,,,,
15,FDL029 LA,TAIL LAMP LH AMBER/CLEAR/RED,Ford,RANGER,UH77-51-160,10,3.842794349,6.47162722,0.058759813,1999,2002,,,,,
,FDL029 RA,TAIL LAMP RH AMBER/CLEAR/RED,Ford,RANGER,UH77-51-150,10,4.480670805,5.958912664,0.057830218,1999,2002,,,,,
1,FDMR029 LA,DOOR MIRRIR BK LH,Ford,RANGER,UH71-69-180A,1,0.514169693,0.737226001,0.045549812,1999,2003,,,,,
,FDMR029 RA,DOOR MIRROR BK RH,Ford,RANGER,UH71-69-120A,1,0.497495523,0.661613209,0.05087828,1999,2003,,,,,
2,UH72-69-180B,MIRROR LH ELEC,Ford,RANGER 4WD,UH72-69-180B,1,2.551439592,4.327409915,0.033761274,1999,2003,,,,,
,UH72-69-120B,MIRROR RH ELEC,Ford,RANGER 4WD,UH72-69-120B,1,1.13069916,1.425990535,0.014371541,1999,2003,,,,,
3,UN08-69-180C,LH MIRROR,Ford,RANGER,UN08-69-180C,1,1.522217615,1.993150909,0.013938716,1998,2002,,,,,
,UN08-69-120C,RH MIRROR,Ford,RH MIRROR,UN08-69-120C,1,1.366874922,1.952129788,0.011492258,1998,2002,,,,,
4,FDFD029 F LA,F.DOOR RANGER'99 (USED),Ford,RANGER'99,A00T-607F8-NG,1,16.32663138,14.87567654,0.135809625,1998,2002,,,,,
,FDFD029 F RA,F.DOOR RANGER'99 (USED),Ford,RANGER'99,2FAF-RVVJZ-WL,1,16.38919429,15.99563122,0.147534596,1998,2002,,,,,
5,UH81-59-020,F.DOOR LH,Ford,MAZDA/RANGER,UH81-59-020H,1,12.85083327,13.03207235,0.171463477,1999,2001,,,,,
,UH81-58-020,F.DOOR RH,Ford,MAZDA/RANGER,UH81-58-020H,1,11.73589039,14.65681799,0.154468014,1999,2001,,,,,
6,UH83-73-020,R.DOOR LH,Ford,RANGER,UH83-73-020D,1,11.32115291,14.68245715,0.2161153,1999,2005,,,,,
,UH83-72-020,R.DOOR RH,Ford,RANGER,UH83-72-020D,1,11.4306355,15.29589545,0.16821284,1999,2005,,,,,
7,UH94-65-500,SIDE PANEL DOUBLE CAB LH W/O HOLE,Ford,RANGER,UH94-65-500,1,7.996916389,9.882019803,0.169394003,1999,2002,,,,,
8,UH94-65-400,SIDE PANEL DOUBLE CAB W/O HOLE RH,Ford,RANGER,UH94-65-400,1,17.29109661,19.25285884,0.147573564,1999,2002,,,,,
9,FDH029 NA,HOOD E.D.P.,Ford,RANGER,UH77-52-310E,1,11.71316062,14.01706089,0.080676855,1999,2002,,,,,
10,UH77-52-310G,HOOD,Ford,RANGER,UH77-52-310G,1,16.05469792,15.07130632,0.148987078,2000,2000,,,,,
11,UH71-70-600,ROOF SINGLE CAB O.E.M,Ford,MAZDA / FORD,UH71-70-600,1,5.630871162,7.626196022,0.054509321,1999,2005,,,,,
12,FDT029 NA,REAR GATE MIDDLE OPENER,Ford,RANGER,UH71-65-610A,1,4.431321306,8.277413357,0.060751074,1999,1999,,,,,
13,FDF029 LA,FENDER LH 2WD W/O S.L&F.F. HOLE,Ford,RANGER,UH93-52-211A,1,4.501608867,5.401355856,0.048623522,1999,2002,,,,,
,FDF029 RA,FENDER RH 2WD W/O S.L& F.F. HOLE,Ford,RANGER,UH77-52-111A,1,4.575746489,4.875074519,0.05231756,1999,2002,,,,,
14,FDF029 LD,FENDER W/SIDE LAMP,Ford,RANGER,U8V8-3NWOI-GA,1,3.852932072,3.873197286,0.066573814,1999,2002,,,,,
,FDF029 RD,FENDER W/SIDE LAMP RH,Ford,RANGER,36T2-2DKHZ-K8,1,3.523117658,3.900915357,0.072447248,1999,2002,,,,,
15,UH93-52-211A,FENDER 2WD W/O F.F. HOLE LH,Ford,RANGER,UH93-52-211A,1,2.963269375,5.54155574,0.185076558,1998,2002,,,,,
,UH93-52-111A,FENDER 2WD W/O F.F. HOLE RH,Ford,RANGER,UH93-52-111A,1,4.29449719,5.703987865,0.191810456,1998,2002,,,,,
1,UH98-52-210,F. FENDER W/ F.F. HOLE 4WD LH,Ford,RANGER,UH98-52-210,1,3.071725667,3.984998739,0.187968798,1998,2002,,,,,
,UH98-52-110,F. FENDER W/ F.F. HOLE 4WD RH,Ford,RANGER,UH98-52-110,1,3.174485312,5.145544215,0.223239727,1998,2002,,,,,
2,UH80-51-W30A,F.FENDER STRIP LH,Ford,RANGER,UH80-51-W30A,1,1.201175905,2.523298199,0.129867033,1999,2002,,,,,
,UH80-51-W20A,F.FENDER STRIP RH,Ford,RANGER,UH80-51-W20A,1,1.365592931,2.207947117,0.140669786,1999,2002,,,,,
3,UM49-51-W80F,MOULDING EXT LH,Ford,RANGER,UM49-51-W80F92,1,0.299672142,0.749382093,0.01281977,1992,2007,,,,,
,UM49-51-W70F,MOULDING EXT RH,Ford,RANGER,UM49-51-W70F92,1,0.315813281,0.624443189,0.012837933,1992,2007,,,,,
4,UH84-53-100A,RADIATIOR SUPPORT,Ford,RANGER,UH84-53-100A,1,8.607928343,9.781142808,0.180138517,1999,2005,,,,,
5,UH81-71-220,FRONT OUT PILLAR LH,Ford,RANGER,UH81-71-220,1,2.799827566,3.287131478,0.032876253,2002,2002,,,,,
,UH81-70-220,FRONT OUT PILLAR RH,Ford,RANGER,UH81-70-220,1,3.270879122,3.480662173,0.031935521,2002,2002,,,,,
6,UH71-71-240A,FRONT INNER PILLAR LH,Ford,RANGER,UH71-71-240A,1,0.697277344,0.616135961,0.004699107,2002,2002,,,,,
,UH71-70-240A,FRONT INNER PILLAR RH,Ford,RANGER,UH71-70-240A,1,0.668622304,0.608104373,0.0041082,2002,2002,,,,,
7,UH74-54-210,HOOD LEDGE LH,Ford,RANGER,UH74-54-210,1,5.100456677,5.571422912,0.179601667,1999,2001,,,,,
,UH74-53-210,HOOD LEDGE RH,Ford,RANGER,UH74-53-210,1,7.677774671,6.598851635,0.161709667,1999,2001,,,,,
8,FDIF031 LA,INNER FENDER LH,Ford,FD RANGER,UH77-56-141/C,1,0.472340723,0.518373028,0.023040166,1998,2002,,,,,
,FDIF031 RA,INNER FENDER RH,Ford,FD RANGER,UH77-56-131/C,1,0.442736997,0.457958241,0.020626847,1998,2002,,,,,
9,UH71-65-921,R. INNER FENDER LH,Ford,RANGER,UH71-65-921,1,0.478881597,0.448634171,0.027917632,1998,2002,,,,,
,UH71-65-911A,R.INNER FENDER RH,Ford,RANGER,UH71-65-911,1,0.550028502,0.503293531,0.028250778,1998,2002,,,,,
10,UH82-50-271,REAR BUMBER STAY LH,Ford,RANGER,UH82-50-271,5,4.78891745,7.11364326,0.059844883,1999,1999,,,,,
,UH82-50-280,REAR BUMBER STAY RH,Ford,RANGER,UH82-50-280,5,1.713093444,1.613677604,0.248496738,1999,1999,,,,,
11,UH71-71-251,ROOF OUTER RAIL LH,Ford,RANGER,UH71-71-251,1,0.400636104,0.427276279,0.000666992,2002,2002,,,,,
,UH71-70-251,ROOF OUTER RAIL RH,Ford,RANGER,UH71-70-251,1,0.458332796,0.432748812,0.000860215,2002,2002,,,,,
12,UH71-70-050,ROOF INNER RAIL RH,Ford,RANGER,UH71-70-050,1,0.294040223,0.315398947,0.01231546,2002,2002,,,,,
13,FDLM029 RA,H/L LOWER MOULDING BK,Ford,RANGER,UH77-51-0A9A,1,0.021962763,0.02229628,0.003001969,1999,2001,,,,,
,FDLM029 LA,H/L LOWER MOULDING BK,Ford,RANGER,70-UH77-51-0B9 A,1,0.018593074,0.019651634,0.003095034,1999,2001,,,,,
14,FDS029 LA,SIDE BUMPER LH BK,Ford,RANGER,UH77-50-051,5,3.257081163,4.398000805,0.092584251,1999,1999,,,,,
,FDS029 RA,SIDE BUMPER RH BK,Ford,RANGER,UH77-50-041,5,3.419106583,3.976332967,0.098812095,1999,1999,,,,,
15,UH78-51-851B,FLAP(L)FRONT,Ford,FORD,UH78-51-851B,1,0.286753693,0.291033676,0.009680123,1999,2002,,,,,
,UH78-51-841A/B,MUDFLAT RH FR,Ford,RANGER 4,UH78-51-841A,1,0.34498885,0.299291334,0.010293415,1999,2002,,,,,
1,UH78-51-881,MUDFLAP LH RR,Ford,RANGER 4WD,UH78-51-881,1,0.336045241,0.353899626,0.00912027,1999,2002,,,,,
,UH78-51-871,MUDFLAP RH RR,Ford,RANGER 4WD,UH78-51-871,1,0.282128456,0.335825591,0.008768539,1999,2002,,,,,
2,UH82-50-240,IRON REAR BUMPER LH,Ford,RANGER,UT6C-50-240,1,2.474899131,2.647190237,0.034116171,1999,2001,,,,,
,UH82-50-230,IRON REAR BUMPER RH,Ford,RANGER,UH82-50-230A,1,3.155276656,5.596157733,0.027075092,1999,2001,,,,,
3,UH71-60-221,"COVER,COLUMN UPPER",Ford,FORD,UH71-60-221,1,3.150465748,5.878623711,0.026900385,1999,2001,,,,,
4,UH71-60-231,"COVER,COLUMN LOWER",Ford,FORD,UH71-60-231,1,3.336741202,4.767158572,0.03274866,1999,2001,,,,,
5,CL3987,CONDENSOR,Ford,RANGER,WL81-61-480,1,1.798815858,3.209270062,0.042607372,1998,2003,,,,,
6,FDRD031 NM,RADIATOR MANUAL,Ford,RANGER,WL81-15-200B,1,3.245009866,3.781027263,0.055018815,1999,2003,,,,,
7,WL85-15-200,RADIATOR COOLANT,Ford,RANGER,WL85-15-200A,1,4.356778981,4.476844952,0.04214823,1999,2002,,,,,
8,WLVP15200D,RADIATOR AUTO,Ford,RANGER,WLVP15200D,1,4.009754726,5.72892695,0.063202084,2010,2010,,,,,
9,FDIC030 NA,INTER COOLER 11 LAYERS,Ford,RANGER/B2500,WL21-13-550A/WL85-13-550,1,6.505876186,20.44711208,0.097785087,1999,2003,,,,,
10,WL51-15-141,RADIATOR FAN,Ford,RANGER,WL51-15-141C,1,2.138767149,3.902258857,0.017692288,1999,2001,,,,,
11,EFB029 FD,ENGINE FAN BLADE,Ford,RANGER,WL51-15-141,5,5.052524385,4.895318266,0.049657449,1999,2003,,,,,
12,UH71-67-480,WASHER TANK,Ford,RANGER,UH71-67-480,1,3.072661806,4.607401677,0.02732037,1998,2002,,,,,
13,WL81-15-350A,RESERVE TANK,Ford,RANGER,WL81-15-350C,1,3.011510758,5.157480393,0.032748292,1999,2001,,,,,
14,WL81-13-320,AIR CLEANER HOUSING 2500 CC,Ford,RANGER,WL81-13-320D,1,1.632933961,1.85455038,0.032816691,1998,2009,,,,,
15,UH71-71-311,RAIN RAIL LH,Ford,RANGER,UH71-71-311,1,0.33139266,0.319007714,0.007928976,2002,2002,,,,,
,UH71-70-311,RAIN RAIL RH,Ford,RANGER,UH71-70-311,1,8.028086392,12.36904884,2.179308011,2002,2002,,,,,
16,UH71-65-750,REAR GATE HANDLE,Ford,RANGER,70-UH71-65-750A A,100,5.032225341,7.356534707,0.067834773,1999,2001,,,,,
17,UH71-59-410,DOOR HANDLE LH (BK),Ford,RANGER,UH71-59-410,1,0.096979505,0.122645474,0.002533135,1999,2001,,,,,
,UH71-58-410,DOOR HANDLE RH (BK),Ford,RANGER,UH71-58-410,1,0.105077023,0.102313871,0.002173981,1999,2001,,,,,
18,UAX029 FD,UPPER ARM AXLE R/L,Ford,RANGER 4WD,MB109512,1,2.156982493,3.239437305,0.011479301,1997,1999,,,,,
1,UH71-50-090A,FRONT BUMPER BRACKET LH,Ford,RANGER,UH71-50-090A,1,3.126704587,4.904004359,0.046177695,1999,2002,,,,,
,UH71-50-080A,FRONT BUMPER BRACKET RH,Ford,RANGER,UH71-50-080A,1,2.340227937,2.198074795,0.026958402,1999,2002,,,,,
2,UH71-51-270C/D,LICENSE PLATE LAMP,Ford,RANGER,UH71 51270 C,1,0.049359245,0.047769895,0.000189831,1998,2002,,,,,
3,WLVH15211C,RADIATOR FAN SHROUD UPPER,Ford,RANGER,WLVH15211C,1,0.524817661,0.566236928,0.030270054,2010,2010,,,,,
1,FDIB031 NA,FRONT BUMPER 2WD W/O HOLE BK,Ford,RANGER,UM46-50-03X,1,4.25015485,4.827109605,0.03382981,2002,2005,,,,,
2,FDIB031 NB,FRONT BUMPER 2WD W/O HOLE CP,Ford,RANGER,UM46-50-030E,1,4.073491211,4.222662798,0.035041713,2002,2005,,,,,
3,UM48-50-030E,FRT BUMPER 2WD CP W/O HOLE,Ford,RANGER,UM48-50-030E,1,8.129352983,9.417205811,0.071937477,2002,2005,,,,,
4,UM49-50-03XC,FRONT BUMPER 4WD COLOR W/ HOLE,Ford,RANGER,UM49-50-03XC,1,9.497324974,9.748710208,0.032880429,2002,2005,,,,,
5,UM50-50-030E,F.BUMPER 4WD CP W/ HOLE,Ford,RANGER,UM50-50-030E,1,2.484531375,1.650689854,0.132495287,2002,2005,,,,,
6,FDP031 NA,VALANCE PANEL BK,Ford,RANGER,UM46-50-032,5,10.18024781,9.868248866,0.028931509,2002,2005,,,,,
7,FDP031 NB,VALANCE PANEL W/ LAMP AND FLARE HOLE,Ford,RANGER,UM48-50-032C,5,9.370268133,8.581986331,0.029215424,2004,2005,,,,,
8,FDP031 NW,VALANCE PANEL COOL WHITE A6C/A36/A2W,Ford,RANGER,UM46-50-032-WT,1,1.94506006,1.940736785,0.044863292,2002,2005,,,,,
9,FDG031 NA,GRILLE CP/BK,Ford,RANGER / EVEREST,UM48-50-710,5,11.11337877,11.14539309,0.195276038,2002,2003,,,,,
10,FDG031 NB,GRILLE GYM,Ford,OPEN CAB,UM46-50-710,5,7.197552631,8.952457398,0.179774533,2002,2003,,,,,
11,FDHL031 LA,HEAD LAMP LH LA,Ford,RANGER,UM46-51-0L0A,1,2.729628289,3.25402611,0.032972968,2002,2005,,,,,
,FDHL031 RA,HEAD LAMP RH RA,Ford,RANGER,UM46-51-0K0A,1,2.515700907,3.074713775,0.027047191,2002,2005,,,,,
12,UM48-51-0L0A,HEAD LAMP LH,Ford,RANGER,UM48-51-0L0A,1,1.277984184,1.217726594,0.016536989,2002,2005,,,,,
,UM48-51-0K0A,HEAD LAMP RH PG,Ford,RANGER,UM48-51-0K0A,1,0.803822017,1.566042071,0.172035616,2002,2005,,,,,
13,UM81-51-0L0B,HEAD LAMP LH UNIT,Ford,RANGER,UM81510L0B,1,1.075461947,4.385576207,2.760618017,2005,2005,,,,,
,UM81-51-0K0B,HEAD LAMP RH UNIT,Ford,RANGER,UM81510K0B,1,13.16480148,5.733912907,0.862384972,2005,2005,,,,,
14,FDCL031 LA,CORNER LAMP LH BK/CRYSTAL,Ford,OPEN CAB,UM46-51-070,20,8.282326858,8.473858703,0.094200093,2002,2003,,,,,
,FDCL031 RA,CORNER LAMP RH BK/CRYSTAL,Ford,OPEN CAB,UM46-51-060,20,8.363479357,10.04358869,0.080839852,2002,2003,,,,,
15,UM46-51-07X,CORNER LAMP UNIT LH,Ford,RANGER,UM46-51-07D,1,0.224211719,0.430000294,0.00825118,2003,2003,,,,,
,UM46-51-06X,CORNER LAMP UNIT RH,Ford,RANGER,UM46-51-06D,1,0.186762238,0.454540728,0.009100766,2003,2003,,,,,
1,FDSL031 LA,SIDE LAMP CLEAR,Ford,RANGER,UM65-V7-175,50,11.771671,16.30478062,0.04923612,2002,2004,,,,,
,FDSL031 RA,SIDE LAMP CLEAR,Ford,RANGER,UM65-V7-175,50,5.148362743,3.753093155,0.047190225,2002,2004,,,,,
2,FDSL031 LB,SIDE LAMP AMBER,Ford,RANGER,UM67-V7-175,50,16.12232605,2.308008664,0.048125393,2002,2004,,,,,
,FDSL031 RB,SIDE LAMP AMBER,Ford,RANGER,UM67-V7-175,50,5.283457371,11.58357806,0.047371976,2002,2004,,,,,
3,FDL031 LA,TAIL LAMP LH CAN 'T SALE TO S. AFRICA,Ford,RANGER,UM46-51-160/160C,10,6.75925939,6.094142843,0.048629215,2003,2005,,,,,
,FDL031 RA,TAIL LAMP RH CAN 'T SALE TO S. AFRICA,Ford,RANGER,UM46-51-150/150C,10,6.445081067,7.000268807,0.042604024,2003,2005,,,,,
4,FDMR031 LA,DOOR MIRROR LH BK MANAUL,Ford,RANGER,UJ06-69-180A,20,14.70015618,14.93231343,0.145198877,2002,2005,,,,,
,FDMR031 RA,DOOR MIRROR RH BK MANAUL,Ford,RANGER,UJ06-69-120A,20,18.11150347,17.76379163,1.175817179,2002,2005,,,,,
5,FDMR031 LB,DOOR MIRROR CP LH,Ford,RANGER,UM48-69-180D,1,2.326150056,3.689729645,0.438139834,2003,2003,,,,,
,FDMR031 RB,DOOR MIRROR CP RH,Ford,RANGER,UM48-69-120D,1,21.83113543,4.04598496,0.114583851,2003,2003,,,,,
6,FDMC029 LA,DOOR MIRROR COVER WITH LED MAT LH,Ford,RANGER,82IQ-K7XED-FN,1,5.309132065,3.031727837,0.398930589,2003,2005,,,,,
,FDMC029 RA,DOOR MIRROR COVER WITH LED MAT RH,Ford,RANGER,0OV1-GS9NO-OU,1,4.259602946,20.00823858,0.4141047,2003,2005,,,,,
7,FDMC029 LB,DOOR MIRROR COVER WITH LED CHROME LH,Ford,RANGER,75W9-F9QEN-IG,2,0.812506072,0.729282846,0.011944162,2003,2005,,,,,
,FDMC029 RB,DOOR MIRROR COVER WITH LED CHROME RH,Ford,RANGER,D827-GEWWP-C7,2,0.810582059,0.890133595,0.014365006,2003,2005,,,,,
8,FDMC029 LC,DOOR MIRROR COVER WITH LED COLOR LH,Ford,RANGER,E3LI-KZACC-ES,1,14.98742292,1.701296055,1.058371273,2003,2005,,,,,
,FDMC029 RC,DOOR MIRROR COVER WITH LED COLOR RH,Ford,RANGER,DGET-31K3C-9X,1,3.044280023,7.680693898,0.757945083,2003,2005,,,,,
9,FDMC031 LA,DOOR MIRROR COVER WITH LED MAT LH,Ford,OPEN CAB,N1I2-VGHT2-BF,1,8.465199609,8.523892547,0.593385248,2002,2005,,,,,
,FDMC031 RA,DOOR MIRROR COVER WITH LED MAT RH,Ford,OPEN CAB,TB7N-ADJ47-BL,1,12.20632487,1.056302923,0.156764091,2002,2005,,,,,
10,FDMC031 LB,DOOR MIRROR COVER WITH LED CHROME LH,Ford,OPEN CAB,1XZ4-BZKC6-VU,1,2.490202791,2.910047758,0.433484496,2002,2005,,,,,
,FDMC031 RB,DOOR MIRROR COVER WITH LED CHROME RH,Ford,OPEN CAB,CA2R-AJUD7-73,1,0.744093319,11.13765884,0.319745429,2002,2005,,,,,
11,FDMC031 LC,DOOR MIRROR COVER WITH LED COLOR LH,Ford,OPEN CAB,NOXL-8Z304-BS,1,5.979445266,5.818705529,0.390551204,2002,2005,,,,,
,FDMC031 RC,DOOR MIRROR COVER WITH LED COLOR RH,Ford,OPEN CAB,ROW3-GRFJX-RY,1,7.611152364,8.065712288,0.924599933,2002,2005,,,,,
12,FDF031 LA,FENDER 2WD W/O F.F HOLE LH,Ford,RANGER,UM46-52-211B,1,4.649585527,4.666559402,0.068400709,2002,2003,,,,,
,FDF031 RA,FENDER 2WD W/O F.F. HOLE RH,Ford,RANGER,UM46-52-111B/111,1,4.670482483,5.121552264,0.073422822,2002,2003,,,,,
13,FDF031 LB,FENDER 4WD W/F.F HOLE LH,Ford,RANGER,UM51-52-210,1,4.641107993,5.262506463,0.074531323,2002,2003,,,,,
,FDF031 RB,FENDER 4WD W/F.F. HOLE RH,Ford,RANGER,UM51-52-110,1,4.755116691,5.375289924,0.070694529,2002,2003,,,,,
14,UL86-65-500,SIDE PANEL DOUBLE CAB LH W/O HOLE,Ford,RANGER,UL86-65-500,1,8.482073329,10.22195518,0.264115835,2003,2005,,,,,
15,UL86-65-400,SIDE PANEL DOUBEL CAB W/O HOLE RH,Ford,RANGER,UL86-65-400,1,7.220723643,10.23140014,0.151779884,2003,2005,,,,,
16,UL88-65-500,SIDE PANEL DOUBLE CAB LH W/ HOLE,Ford,RANGER,UL88-65-500,1,8.372087879,10.28062354,0.262492036,2003,2005,,,,,
17,UL88-65-400,SIDE PANEL DOUBEL CAB W/HOLE RH,Ford,RANGER,UL88-65-400,1,8.00852191,10.32146321,0.2635084,2003,2005,,,,,
18,FDH031 NA,HOOD EDP,Ford,RANGER,UM46-52-310E,1,8.055158841,9.869235814,0.144522388,2002,2005,,,,,
1,FDT029 NA,REAR GATE MIDDLE OPENER,Ford,RANGER,UH71-65-610A,1,10.05599064,13.53723428,0.042827059,1999,1999,,,,,
2,UM51-51-891,COVER,Ford,RANGER,UM51-51-891,1,0.057426687,0.073290993,0.00073626,2003,2003,,,,,
3,UH83-68-030F,HEADLINING ROOF,Ford,RANGER,UH83-68-030F,1,6.788221685,9.798088013,0.269866388,2003,2003,,,,,
4,RB-709SSB MZ,SPORT ROLL BAR STANLESS,Ford,OPEN CAB,G9ME-260MV-3W,1,5.193632565,0.707243981,1.427585296,2002,2005,,,,,
5,UM48-51-W80E,FRONT BUMPER SKIRT LH,Ford,RANGER,UM48-51-W80E,1,0.29636291,0.716743671,0.013158425,2003,2003,,,,,
