NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,numbering_guide,location
5,FDR061 LB,RADIATOR SUPPORT LOWER 2.0L 4X4,Ford,ECOSPORT,2N15-16E146-D,1,3.02111889,2.725459096,0.046686568,2007,2007,,,,,
6,FDBR061 NA,FRONT BUMPER REINFORCEMENT,Ford,ECOSPORT,2N15-A001K43-AC,1,3.946552049,4.09809986,0.027544965,2007,2007,,,,,
7,FDB063 NA,FRONT BUMPER W/O HOLE MAT BK,Ford,ECOSPORT,8N15-17K819-DAXWA,1,11.1833763,12.13776174,0.050790131,2011,2011,,,,,
8,FDB063 NB,FRONT BUMPER W/HOLE MAT BK,Ford,ECOSPORT,8N15-17K819-CAXWA,1,5.260746353,10.81222959,0.044500382,2011,2011,,,,,
9,FDG063 NA,GRILLE MAT BK,Ford,ECOSPORT,8N15-8200BB-XWA,1,18.96161858,5.97223212,1.044098271,2011,2011,,,,,
1,FDB065 NA,FRONT BUMPER,Ford,ECOSPORT,0O6K-0XGPA-1H,1,2.387642027,2.603352571,0.056691363,2013,2016,,,,,
2,FDP065 SA,FRONT BUMPER LOWER UPPER/LOWER,Ford,ECOSPORT,VU1G-6SDFY-J3,1,1.564913839,1.742452158,0.050394622,2013,2016,,,,,
3,AMCN-1J-17F788AB,COVER FRONT BUMPER SV(accessories),Ford,ECOSPORT,PXF8-SXZ3J-9V,1,8.616473576,19.52199802,1.846422225,2013,2016,,,,,
4,FDBF065 SA,FRONT BUMPER FINISHER SV/BK SETS,Ford,ECOSPORT,CN15-17-B968DCW (IN),10,12.9305663,16.54122861,0.150419087,2013,2016,,,,,
5,FDG065 NA,GRILLE BK WITH CP MOULDING SETS,Ford,ECOSPORT,CN15-17F003-AC5ZC,1,1.730051077,1.785729876,0.013122953,2013,2016,,,,,
6,CN15-8C-436AA5UA2,GRILLE ASSY RADIATO,Ford,ECOSPORT,CN15-8C-436AA5UA2,1,18.24721242,11.89154094,0.369384472,2013,2016,,,,,
7,EN15-8C-436AA5SM3,RADIATOR GRILLE CHROME UPPER,Ford,ECOSPORT,EN15-8C-436AA5SM3,1,0.079725208,0.505500027,0.020138486,2015,2018,,,,,
