NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,front/back,location
7,FDBP011 NA,BACK SPOILER,Ford,FIESTA,KSYX-XAL9H-Y7,1,7.21,5.47,1.01,"2,003","2,005",,,,,
11,FDBP013 NA,BACK SPOILER,Ford,FIESTA,8A69-44210,1,0.02,14.92,0.76,"2,009","2,010",,,,,
10,FDBP013 NA,BACK SPOILER,Ford,FIESTA,8A69-44210,1,1.72,9.78,0.13,"2,009","2,010",,,,,
7,FDBP043 NA,BACK SPOILER,Ford,FOCUS 5 Door,5M51-A44210-AK,1,21.78,22.23,1.38,"2,005","2,006",,,,,
12,IZBL055 NA,BACK UP LAMP (RED),Isuzu,D-MAX,8-98255-655-2,20,8.13,5.32,0.05,"2,012","2,016",,,,,
15,IZBL051 NA,BACK UP LAMP CLEAR,Isuzu,D-MAX,8-97305-671-0,10,6.3,7.39,0.04,"2,008","2,010",,,,,
11,IZBL039 NA,BACK UP LIGHT RED,Isuzu,ISUZU D-MAX,8-97381-629-0/8-97305-671,1,6.5,6.55,0.6,"2,002","2,005",,,,,
1,IZBL039 NA,BACK UP LIGHT RED,Isuzu,ISUZU D-MAX,8-97381-629-0,1,11.31,5.56,1,"2,002","2,005",,,,,
8,8-98073-092-2,BACKLID,Isuzu,D-MAX,8-98073-092-2,1,3.01,3,0.05,"2,012","2,016",,Rear Bumper Lamp,,Back,Lower
8,FDBC039 MB,BED LINER DOUBEL CAB,Ford,RANGER,VEF5-R9C3V-Z2,1,16.84,20.95,0.07,"2,012","2,015",,,,,
18,IZBC039 NB,BED LINER DOUBLE CAB,Isuzu,D-MAX,7RV1-53N72-JX,1,5.77,1.98,0.73,"2,002","2,005",,,,,
6,IZBC047 NA,BED LINER FLAT BED,Isuzu,D-MAX,DBLF-K4EHV-WR,1,24.64,26.11,0.13,"2,006","2,011",,,,,
7,FDBC039 NA,BED LINER SINGLE CAB,Ford,RANGER,A468-JKWU2-E7,1,22.26,21.94,0.68,"2,013","2,015",,,,,
17,IZBC039 NA,BED LINER SINGLE CAB,Isuzu,D-MAX,I7N1-0P84U-CY,1,8.7,1.96,0.11,"2,002","2,005",,,,,
6,8-98074-257-4,BPR BRKT FLH SIDE,Isuzu,DMAX,8-98074-257-4,1,0.15,0.15,0,"2,013","2,013",,Bumper Bracket,,Back,Lower
,8-98074-256-4,BPR BRKT FRH SIDE,Isuzu,DMAX,8-98074-256-4,1,0.13,0.18,0,"2,013","2,013",,Bumper Bracket,,Back,Lower
5,F1EJ-15-A299A3B5UAW,BRACKET FOG LAMP,Ford,FOCUS,F1EJ-15-A299A3B5UAW,1,0.18,0.47,0.01,"2,016","2,016",,Fog Lamp,,Back,Lower
,F1EJ-15-A298A3B5UAW,BRACKET FOG LAMP,Ford,FOCUS,F1EJ-15-A298A3B5UAW,1,0.19,0.52,0.01,"2,016","2,016",,Fog Lamp,,Back,Lower
15,8-97238-049-0,BRACKET FRONT BUMPER,Isuzu,D-MAX,8-97236-049-0,1,0.27,0.29,0,"2,002","2,005",,Bumper Bracket,,back,Lower
16,8-98163-230-0,BRAKE MASTER CYL OEM,Isuzu,D-MAX,8-98163-230-0,1,0.58,0.82,0.01,"2,012","2,016",,Brake Adjust Part,,Back,Lower
15,IZBS030 LL,BUMPER BRACKET L(BIG) LH L2,Isuzu,GM,PGFK-TCXZT-EO,1,0.58,0.47,0.01,"2,001","2,003",,,,,
,IZBS030 LR,BUMPER BRACKET L(BIG) RH R1,Isuzu,GM,SJ9G-BLZ6R-LN,1,2.02,2.02,0.02,"2,001","2,003",,,,,
13,UR87-50-0U0B,BUMPER BRACKET LH,Ford,DURATORQUE,UR87-50-0U0B,1,0.28,0.21,0.01,"2,006","2,009",,Bumper Bracket,,Back,Lower
4,UD2D-50-0U0,BUMPER BRACKET LH,Ford,DURATORQUE,UD2D-50-0U0,1,0.26,0.25,0,"2,009","2,010",,Bumper Bracket,,Back,Lower
,UR87-50-0T1B,BUMPER BRACKET RH,Ford,DURATORQUE,UR87-50-0T1B,1,0.26,0.27,0,"2,006","2,009",,Bumper Bracket,,Back,Lower
1,IZBS030 LM,BUMPER BRACKET SIDE,Isuzu,ISUZU TFR,8-97940-772-2,1,2.23,1.8,0,"2,000","2,000",,,,,
,IZBS030 RM,BUMPER BRACKET SIDE,Isuzu,ISUZU TFR,8-97940-771-2,1,2.07,2.22,0,"2,000","2,000",,,,,
3,IZBS030 UL,BUMPER BRACKET U LH L4,Isuzu,GM,M53W-SDRA5-JF,1,0.55,0.56,0.01,"2,001","2,003",,,,,
,IZBS030 UR,BUMPER BRACKET U RH R4,Isuzu,GM,1EYX-151OP-6L,1,0.54,0.45,0,"2,001","2,003",,,,,
2,8-98030-167-0,BUMPER CHROME HEAD LH OEM,Isuzu,DMAX,8-98030-167-0,1,1.94,2.23,0.02,"2,007","2,007",,Bumper Bracket,,Back,Lower
,8-98030-181-0,BUMPER CHROME HEAD RH OEM,Isuzu,DMAX,8-98030-181-0,1,1.94,2.4,0.02,"2,007","2,007",,Bumper Bracket,,Back,Lower
3,D5BB-17-K945BA5UAW,BUMPER FINISHER,Ford,FIESTA,D5BB-17-K945BA5UAW,1,0.94,1.52,0.02,"2,013","2,014",,Bumper Bracket,,Back,Lower
4,FDBF017 NA,BUMPER FINISHER,Ford,FIESTA,D5BB-17-K945B,1,0.57,0.46,0.01,"2,013","2,014",,,,,
4,UD2D-50-IT1A,BUMPER FINISHER,Ford,NEW RANGER,UD2D-50-1T1A,1,0.26,0.67,0.01,"2,009","2,010",,Bumper Bracket,,Back,Lower
3,FDBF015 NA,BUMPER FINISHER BK LUXURY 4-5 DOOR,Ford,FIESTA,8A61-17B968-D,25,31.02,25.64,0.45,"2,009","2,010",,,,,
4,FDBF015 NB,BUMPER FINISHER BK SPORT,Ford,FIESTA,8A61-17B968-A,1,1.08,1.1,0.33,"2,009","2,010",,,,,
2,FDBF015 CA,BUMPER FINISHER CHROME MOULDING LUXURY,Ford,FIESTA,99VW-9QTDX-R4,10,3.21,3.93,0.03,"2,009","2,011",,,,,
8,CN15-8C-436CA5UA,BUMPER FINISHER MOULDING LOWER,Ford,ECOSPORT,CN15-8C-436CA5UA,1,3.08,5.61,0.51,"2,013","2,016",,Bumper Bracket,,Back,Lower
9,EN15-8C-436BA5UA2,BUMPER FINISHER MOULDING MIDDLE,Ford,ECOSPORT,EN1Z-84-19BA,1,0.06,0.36,0.02,"2,013","2,016",,Bumper Bracket,,Back,Lower
3,FDBS047 NA,BUMPER FINISHER W/CP MOULDING,Ford,FOCUS,8M51-8C436-AD,1,0.79,1.03,0,"2,009","2,010",,,,,
14,UR89-51-W80A,BUMPER FLARE LH,Ford,RANGER,UR89-51-W80A,1,0.57,0.93,0,"2,006","2,009",,Bumper Bracket,,Back,Lower
,UR89-51-W70A,BUMPER FLARE RH,Ford,RANGER,UR89-51-W70A,1,0.58,0.87,0,"2,006","2,009",,Bumper Bracket,,Back,Lower
11,FDBS041 LA,BUMPER FOG LAMP STRIP LH,Ford,FOCUS,5M54-17-E909B,10,14.96,15.42,0,"2,005","2,007",,,,,
,FDBS041 RA,BUMPER FOG LAMP STRIP RH,Ford,FOCUS,5M54-17-E908B,10,1.03,3.94,0,"2,005","2,007",,,,,
3,8-98030-185-2,BUMPER METAL BRACKET PAD OEM,Isuzu,D-MAX,8-98030-185-2,1,0.5,0.44,0,"2,007","2,007",,Bumper Bracket,,Back,Lower
13,IZBR030 NA,BUMPER REINFORCEMENT DRAGON,Isuzu,TFR,8-97940-777-2,5,13.82,16.31,0.02,"2,000","2,000",,,,,
12,IZBR037 NA,BUMPER REINFORCEMENT LOWER,Isuzu,D-MAX,8-97235-867-2,1,4.73,6.56,0.03,"2,003","2,004",,,,,
13,IZBR037 LA,BUMPER REINFORCEMENT LOWER,Isuzu,D-MAX,8-97235-867-2,1,2.88,2.26,0.01,"2,002","2,003",,,,,
12,IZBR043 LA,BUMPER REINFORCEMENT LOWER,Isuzu,D-MAX,8-97367-044-0,1,3.11,2.97,0.01,"2,004","2,008",,,,,
14,IZBR043 LA,BUMPER REINFORCEMENT LOWER,Isuzu,D-MAX,8-97367-044-0,1,2.6,3.01,0.01,"2,004","2,008",,,,,
16,8-98165-112-1,BUMPER REINFORCEMENT LOWER,Isuzu,ALL NEW DMAX,8-98165-112-1,1,4.05,5.43,0.01,"2,012","2,016",,Bumper Bracket,,Back,Lower
14,IZBR037 UA,BUMPER REINFORCEMENT UPPER,Isuzu,D-MAX,8-97235-872-3,1,1.24,1.64,0.05,"2,002","2,003",,,,,
13,IZBR043 UA,BUMPER REINFORCEMENT UPPER,Isuzu,D-MAX,8-97367-040-0/043-1,1,1.03,1.19,0.03,"2,005","2,006",,,,,
12,8-98060-773-0,BUMPER REINFORCEMENT UPPER,Isuzu,D-MAX,8-98060-773-0,1,2.13,3.66,0.06,"2,007","2,008",,Bumper Bracket,,Back,Lower
13,IZBR043 UA,BUMPER REINFORCEMENT UPPER,Isuzu,D-MAX,8-97367-040-0/043-1,1,1.11,1.12,0.03,"2,005","2,006",,,,,
15,8-98087-390-1,BUMPER REINFORCEMENT UPPER,Isuzu,ALL NEW DMAX,8-98087-390-1,1,2.06,3.23,0.01,"2,012","2,016",,Bumper Bracket,,Back,Lower
2,IZBS030 SL,BUMPER S BRACKET LH L3,Isuzu,GM,PG2J-OKQLD-5A,1,0.5,0.48,0.01,"2,001","2,003",,,,,
,IZBS030 SR,BUMPER S BRACKET RH R3,Isuzu,GM,2EE7-0MMFX-SS,1,0.5,0.48,0.01,"2,001","2,003",,,,,
14,IZBS030 LA,BUMPER SUPPORT '00,Isuzu,ISUZU TFR,8-97940-785-1,1,1.89,1.67,0.01,"2,000","2,000",,,,,
,IZBS030 RA,BUMPER SUPPORT '00,Isuzu,ISUZU TFR,8-97940-784-1,1,1.97,2.14,0.01,"2,000","2,000",,,,,
6,FDBS031 LA,BUMPER SUPPORT LH,Ford,RANGER,UM46-50-090A,1,3.27,2.8,0.01,"2,002","2,004",,,,,
5,UD2D-50-AC0,BUMPER SUPPORT METAL LH,Ford,DURATORQUE,UD2D-50-AC0,1,1.55,1.59,0.02,"2,009","2,010",,Bumper Bracket,,Back,Lower
,UD2D-50-AB0,BUMPER SUPPORT METAL RH,Ford,DURATORQUE,UD2D-50-AB0,1,1.51,1.65,0.02,"2,009","2,010",,Bumper Bracket,,Back,Lower
,FDBS031 RA,BUMPER SUPPORT RH,Ford,RANGER,UM46-50-080A,1,3.01,2.79,0.01,"2,002","2,004",,,,,
15,UFY1-50-241,"BUMPER(L),REAR *",Ford,EVEREST,UFY1-50-241,1,5.58,8.74,0.95,"2,011","2,014",,Bumper Bracket,,Back,Lower
,UFY1-50-231,"BUMPER(R),REAR *",Ford,EVEREST,UFY1-50-231,1,9.25,12.29,1.16,"2,011","2,014",,Bumper Bracket,,Back,Lower
10,8-98104-244-4,BUSHING,Isuzu,ALL NEW DMAX,8-98104-244-4,1,1.6,1.48,0.01,"2,012","2,016",,Lower Arm Bushing,,Back,Lower
,8-98104-253-4,BUSHING,Isuzu,ALL NEW DMAX,8-98104-253-4,1,0.85,1.41,0.03,"2,012","2,016",,Lower Arm Bushing,,Back,Lower
8,8-98102-359-2,CENTER COVER BUMPER BK,Isuzu,D-MAX,8-98102-359-2,1,1.77,2.92,0.03,"2,012","2,016",,Bumper,,Back,Lower
17,FDWT013 NA,CLEANING WATER TANK,Ford,FIESTA,8A61-17618,1,0.68,0.6,0.28,"2,009","2,010",,,,,
12,UC86-41-400A,CLUCH MASTER,Ford,RANGER,UC86-41-400A,1,0.62,0.74,0,"2,002","2,002",,Clutch Cable,,Front,Lower
9,8-97302-291-0,CLUTCH COOLING FAN,Isuzu,D-MAX,8-97302-291-0,1,2.02,2.01,0,"2,002","2,005",,Clutch Cable,,Front,Lower
8,8-98051-828-0,COMPLETE ROOF 4X4,Isuzu,D-MAX,8-98051-828-0,1,13.98,15.07,0.37,"2,007","2,007",,Moulding Upper,,Front,Upper
4,PL3330,CONDENSER,Ford,FORD RANGER,UM65-61-480A,1,4.28,5.91,0.03,"2,003","2,005",,,,,
17,UC9M-61-480A,CONDENSER,Ford,BT50/DURATORQ,UC9M-61-480A,1,3.92,6.01,0.06,"2,014","2,015",,Air Condensor,,Front,Center
6,8-98052-634-2,CONDENSER,Isuzu,D-MAX,8-98052-634-2,1,2.04,2.68,0.03,"2,012","2,016",,Air Condensor,,Front,Center
12,UB2C-61-480D,CONDENSER ASSY,Ford,EVEREST,UB2C-61-480D,1,4.96,4.02,0.13,"2,011","2,014",,Air Condensor,,Front,Center
5,CL3987,CONDENSOR,Ford,RANGER,WL81-61-480,1,1.8,3.21,0.04,"1,998","2,003",,,,,
6,PL3196,CONDERSER,Isuzu,D-MAX,88460-50020,1,4.17,4.85,0.04,"2,001","2,003",,,,,
14,YL8Z-6A-642BA,"COOLER,OIL",Ford,ECOSPORT,YL8Z-6A-642BA,1,13.96,19.75,0.2,"2,013","2,016",,Inter Coller,,Front,Upper
18,FDTR013 NA,COOLING WATER TANK,Ford,FIESTA,ZL36-15350,1,0.18,0.19,0.22,"2,009","2,010",,,,,
13,UH77-51-07X,CORNER LAMP LH,Ford,FORD RANGER 4WD,UH77-51-07X,1,0.19,0.43,0.01,"1,999","2,002",,Corner Lamp,,Front,Left Side
14,FDCL031 LA,CORNER LAMP LH BK/CRYSTAL,Ford,OPEN CAB,UM46-51-070,20,8.28,8.47,0.09,"2,002","2,003",,,,,
12,8-97918-052-2,CORNER LAMP MULTI LH,Isuzu,ISUZU TFR,8-97918-052-2,1,0.18,0.26,0,"1,999","2,001",,Corner Lamp,,Front,Left Side
,8-97913-910-2,CORNER LAMP MULTI RH,Isuzu,ISUZU TFR,8-97913-910-0,1,0.19,0.28,0,"1,999","2,001",,Corner Lamp,,Front,Right Side
,UH77-51-06X,CORNER LAMP RH,Ford,FORD RANGER 4WD,UH77-51-06X,1,0.25,0.43,0.01,"1,999","2,002",,Corner Lamp,,Front,Right Side
,FDCL031 RA,CORNER LAMP RH BK/CRYSTAL,Ford,OPEN CAB,UM46-51-060,20,8.36,10.04,0.08,"2,002","2,003",,,,,
15,UM46-51-07X,CORNER LAMP UNIT LH,Ford,FORD RANGER,UM46-51-07D,1,0.22,0.43,0.01,"2,003","2,003",,Corner Lamp,,Front,Right Side
,UM46-51-06X,CORNER LAMP UNIT RH,Ford,FORD RANGER,UM46-51-06D,1,0.19,0.45,0.01,"2,003","2,003",,Corner Lamp,,Front,Left Side
,IZE024 RA,CORNER PANEL TER/FUEGO/SLX '97RA,Isuzu,TFR/FUEGO/SLX,N66F-41KEU-IH,1,0.43,2.45,0.01,"1,997","1,997",,,,,
7,IZE024 LA,CORNER PANEL TFR/FUEGO/SLX '97 LA,Isuzu,TFR/FUEGO/SLX,8LJH-6K4KU-MF,1,0.51,2.36,0.01,"1,997","1,997",,,,,
2,UM51-51-891,COVER,Ford,RANGER,UM51-51-891,1,0.06,0.07,0,"2,003","2,003",,Hood,,Front,Upper
7,EB3B-8C-291BC,COVER,Ford,RANGER,EB3Z-8C-291C,1,1.04,2.32,0.09,"2,015","2,015",,Hood,,Front,Upper
5,FDSP011 NA,COVER FOR FRONT BUMPER,Ford,FIESTA,3N21-17A989-AAW,1,9.77,7.86,0.22,"2,003","2,005",,,,,
6,FDSP012 NA,COVER FOR REAR BUMPER,Ford,FIESTA,3N21-17K835-ABW,1,8.87,11.04,0.52,"2,003","2,005",,,,,
3,GN1Z-17D957-MB,COVER FRONT BUMPER LH,Ford,ECOSPORTS,GN1Z-17D957-MB,1,2.76,18.5,0.24,"2,018","2,018",,Bumper,,Back,Left Side
,GN1Z-17D957-RB,COVER FRONT BUMPER RH,Ford,ECOSPORTS,GN1Z-17D957-RB,1,0.13,7.75,0.29,"2,018","2,018",,Bumper,,Back,Right Side
3,AMCN-1J-17F788AB,COVER FRONT BUMPER SV(accessories),Ford,ECOSPORT,PXF8-SXZ3J-9V,1,8.62,19.52,1.85,"2,013","2,016",,Bumper,,Back,Lower
13,8-97251-394-0,COVER FUSE BOX LOWER OEM,Isuzu,D-MAX,8-97251-394-0,1,0.45,0.72,0.01,"2,008","2,008",,Bumper,,Back,Lower
9,8-98092-084-0,COVER MIRROR LH CHROME OEM,Isuzu,D-MAX,8-98092-084-0,1,0.1,0.24,0,"2,009","2,009",,Fender Mirror,,Back,Left Side
,8-98092-083-0,COVER MIRROR RH CHROME OEM,Isuzu,D-MAX,8-98092-083-0,1,0.11,0.2,0,"2,009","2,009",,Fender Mirror,,Back,Right Side
9,FDSP045 NA,COVER PART FOR FRONT BUMPER,Ford,FOCUS,6M5A-17A989-A,1,16.79,20.41,0.94,"2,007","2,008",,,,,
7,FDSP047 NA,COVER PART FOR FRONT BUMPER,Ford,FOCUS,8M51-17A989-AB,1,9.15,12.13,1.47,"2,009","2,010",,,,,
8,FDSP048 NA,COVER PART FOR REAR BUMPER,Ford,FOCUS,8M59-F17K922-AA,1,3.43,10.09,1.47,"2,009","2,010",,,,,
3,FDSP050 NA,COVER PART FOR REAR BUMPER,Ford,FOCUS 5D,8M51-A17K922-AAW,1,6.71,9.61,2.39,"2,009","2,010",,,,,
3,UF0M-50-C21B,"COVER(LH), FOG LAMP",Ford,EVEREST,UF0M-50-C21B,1,18.09,6.58,2.36,"2,011","2,014",,Fog Lamp,,Front,Left Side
,UF0M-50-C11B,"COVER(RH), FOG LAMP",Ford,EVEREST,UF0M-50-C11B,1,1.51,6.05,0.42,"2,011","2,014",,Fog Lamp,,Front,Right Side
4,UH71-60-231,"COVER,COLUMN LOWER",Ford,FORD,UH71-60-231,1,3.34,4.77,0.03,"1,999","2,001",,Rear Tail Body,,Back,Lower
3,UH71-60-221,"COVER,COLUMN UPPER",Ford,FORD,UH71-60-221,1,3.15,5.88,0.03,"1,999","2,001",,Rear Tail Body,,Back,Upper
7,FDDB041 NA,DASH BOARD BEIGE RHD.,Ford,FOCUS 4/5 Drs,4M51-A04320-AAW,1,17.78,11.06,0.07,"2,005","2,006",,,,,
8,FDDB041 NA,DASH BOARD BEIGE RHD.,Ford,FOCUS 4/5 Drs,4M51-A04320-AAW,1,9.5,3.07,0.63,"2,005","2,006",,,,,
8,FDDB041 NB,DASH BOARD GRAY RHD.,Ford,FOCUS 4/5 Drs,MQT3-PK3WB-XJ,1,5.66,13.12,0.59,"2,005","2,006",,,,,
9,FDDB041 NB,DASH BOARD GRAY RHD.,Ford,FOCUS 4/5 Drs,D3XL-HVQU3-ES,1,1.69,8.36,0.32,"2,005","2,006",,,,,
3,8-98222-286-2,DAY LIGHT LA,Isuzu,D-MAX,8-98222-286-2,1,0.42,0.51,0.01,"2,012","2,016",,Room Lamp,,Front,Left Side
