NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,front/back,location
,IZFF037 R RB,FENDER FLARE REAR RH 2.0 mm.,Isuzu,D-MAX 2/4 DRS.,8-97350-460-1,1,19.36,16.33,0.2,"2,002","2,004",,,,,
,IZFF037 R RA,FENDER FLARE REAR RH 2.5 mm,Isuzu,D-MAX 2/4 DRS.,8-97235-466-2,1,4.33,2.64,0.52,"2,002","2,004",,,,,
12,FDFF087 SA,FENDER FLARE SET,Ford,RANGER,XAQW-5LOXA-0W,1,0.92,2.47,1.15,"2,022","2,022",,,,,
13,IZFF037 SC,FENDER FLARE SET (6 PCS.) 2.0 MM,Isuzu,D-MAX 2 DRS.,KTVL-PMP3O-4U,1,7.09,7.88,0.03,"2,002","2,003",,,,,
14,IZFF037 SD,FENDER FLARE SET (6 PCS.) 2.0 MM,Isuzu,ISUZU D-MAZ 4 DRS.,51KR-3UG1Y-MK,1,4.59,12.38,0.03,"2,002","2,003",,,,,
11,IZFF037 SA,FENDER FLARE SET (6 PCS.) 2.5 MM,Isuzu,D-MAX 2 DRS.,F5JE-721YS-VU,1,5.39,9.42,0.33,"2,002","2,003",,,,,
12,IZFF037 SB,FENDER FLARE SET (6 PCS.) 2.5 MM,Isuzu,ISUZU D-MAX 4 DRS.,QVVH-51JPQ-VZ,1,6.35,12.27,1.05,"2,002","2,003",,,,,
3,FDFF039 SA,FENDER FLARE SET (6PCS),Ford,RANGER,CHGJ-Z99WF-5R,1,18.79,5.23,0.57,"2,011","2,011",,,,,
17,IZFF049 SB,FENDER FLARE SET 2.5 MM,Isuzu,D-MAX 4 DRS,PKRP-MN5R4-06,1,3.8,5.05,0.11,"2,006","2,008",,,,,
5,FDFF001 SA,FENDER FLARE SET 4 PCS,Ford,BANTAM,2S64P16114,1,3.79,4.08,0.05,"2,003","2,006",,,,,
6,FDFF001 SB,FENDER FLARE SET 6 PCS,Ford,BANTAM,5S69P16,1,3.27,4.5,0.05,"2,006","2,009",,,,,
6,FDFF031 SA,FENDER FLARES JUMBO 2 DOORS,Ford,RANGER,ACC7-9G6LK-2L,1,1.8,4.23,0.18,"2,004","2,005",,,,,
7,FDFF031 SB,FENDER FLARES JUMBO 4 DOORS,Ford,RANGER,D44J-5AE2Y-FG,1,1.95,3.13,0.19,"2,004","2,005",,,,,
7,AB39-16-G001CB5BJ9,FENDER GARNISH ASSEMBLY LH,Ford,RANGER,AB39-16-G001CB5BJ9,1,0.14,0.14,0,"2,015","2,015",,Fender,,Front,Right Side
,AB39-16-G000CB5BJ9,FENDER GARNISH ASSEMBLY RH,Ford,RANGER,AB39-16-G000CB5BJ9,1,0.14,0.13,0,"2,015","2,017",,Fender,,Front,Left Side
14,FDFG087 LA,FENDER GARNISH LH,Ford,RANGER,N1WZ-632-0001U,1,6.4,8.79,0.14,"2,022","2,022",,,,,
,FDFG087 RA,FENDER GARNISH RH,Ford,RANGER,N1WZ-992-0000V,1,0.31,9.5,0.9,"2,022","2,022",,,,,
2,FDF017 LA,FENDER LH,Ford,FIESTA,6K3P-8NUJ0-AZ,1,3.48,4.61,0.08,"2,013","2,014",,,,,
12,FDF039 LA,FENDER LH,Ford,RANGER,M6A6-KECJI-3E,1,3.55,5.7,0.03,"2,011","2,012",,,,,
11,FDF081 LA,FENDER LH,Ford,RANGER,EB3B4116016AB,1,3.18,5.52,0.09,"2,015","2,017",,,,,
8,FDF111 LA,FENDER LH,Ford,RANGER RAPTOR,Y9E8-YWENX-A8,1,6.25,11.29,0.54,"2,022","2,022",,,,,
13,FDF029 LA,FENDER LH 2WD W/O S.L&F.F. HOLE,Ford,FORD RANGER,UH93-52-211A,1,4.5,5.4,0.05,"1,999","2,002",,,,,
11,FDF037 LB,FENDER LH W/ F.F &W/O S.L HOLE,Ford,RANGER,UD2G-52-210A,1,3.51,3.85,0.08,"2,009","2,010",,,,,
6,IZF037 LB,FENDER LH W/ S.L. HOLE & FF.HOLE,Isuzu,D-MAX,8-97234-755-6,1,3.05,3.6,0.07,"2,003","2,004",,,,,
5,IZF037 LB,FENDER LH W/ S.L. HOLE & FF.HOLE,Isuzu,ISUZU D-MAX,8-97234-755-6,1,3.27,4.25,0.05,"2,003","2,004",,,,,
12,UD2G-52-210A,FENDER LH W/F.F & W/O S.L HOLE,Ford,DURATORQUE,UD2G-52-210A,1,3.64,5.26,0.19,"2,008","2,009",,Fender,,Front,Left Side
10,FDF037 LA,FENDER LH W/O F.F &S.L HOLE,Ford,RANGER,UD2D-52-210,1,3.19,3.39,0.09,"2,009","2,010",,,,,
13,UD2D-52-211A,FENDER LH W/O F.F. & S.L HOLE,Ford,DURATORQUE,UD2D-52-211A,1,3.39,4.85,0.22,"2,008","2,009",,Fender,,Front,Left Side
2,8-97915-733-0/1,FENDER LH W/O HOLE,Isuzu,TFR,8-97915-733-1,1,2.98,6.37,0.21,"1,997","1,999",,Fender,,Front,Left Side
5,IZF037 LA,FENDER LH W/O S.L HOLE,Isuzu,D-MAX,8-97234-753-6,1,3.53,3.83,0.07,"2,002","2,003",,,,,
4,IZF037 LA,FENDER LH W/O S.L HOLE,Isuzu,ISUZU D-MAX,8-97234-753-6,1,2.98,3.95,0.06,"2,002","2,003",,,,,
7,FDIF013 LA,FENDER LINER LH,Ford,FIESTA,8A69-16115-AF,10,11.54,10.49,0.04,"2,009","2,014",,,,,
,FDIF013 RA,FENDER LINER RH,Ford,FIESTA,8A69-16114-AF,10,12.08,10.48,0.04,"2,009","2,014",,,,,
,FDF017 RA,FENDER RH,Ford,FIESTA,RH2V-BQJAW-38,1,3.85,3.7,0.07,"2,013","2,014",,,,,
,FDF039 RA,FENDER RH,Ford,RANGER,J3JA-XC9R3-R4,1,3.35,6.44,0.03,"2,011","2,012",,,,,
,FDF081 RA,FENDER RH,Ford,RANGER,EB3B4116015AB,1,3.6,4.32,0.07,"2,015","2,017",,,,,
,FDF111 RA,FENDER RH,Ford,RANGER RAPTOR,D3L4-H0V4E-94,1,9.32,11.59,0.33,"2,022","2,022",,,,,
,FDF029 RA,FENDER RH 2WD W/O S.L& F.F. HOLE,Ford,FORD RANGER,UH77-52-111A,1,4.58,4.88,0.05,"1,999","2,002",,,,,
,FDF037 RB,FENDER RH W/ F.F &W/O S.L HOLE,Ford,RANGER,UD2G-52-110A,1,3.5,3.78,0.07,"2,009","2,010",,,,,
,IZF037 RB,FENDER RH W/ S.L HOLE & F.F. HOLE,Isuzu,D-MAX,8-97234-754-6,1,3.19,3.82,0.06,"2,003","2,004",,,,,
,IZF037 RB,FENDER RH W/ S.L HOLE & F.F. HOLE,Isuzu,ISUZU D-MAX,8-97234-754-6,1,2.97,3.99,0.06,"2,003","2,004",,,,,
,UD2G-52-110A,FENDER RH W/F.F HOLE & W/O S.L HOLE,Ford,DURATORQUE,UD2G-52-110A,1,3.5,5.55,0.19,"2,008","2,009",,Fender,,Front,Right Side
,UD2D-52-111A,FENDER RH W/O F.F & S.L HOLE,Ford,DURATORQUE,UD2D-52-111A,1,3.39,5.28,0.22,"2,008","2,009",,Fender,,Front,Right Side
,FDF037 RA,FENDER RH W/O F.F &S.L HOLE,Ford,RANGER,UD2D-52-111A,1,3.74,3.9,0.08,"2,009","2,010",,,,,
,8-97915-732-0,FENDER RH W/O HOLE,Isuzu,TFR,8-97915-732-0,1,2.72,5.73,0.19,"1,997","1,999",,Fender,,Front,Right Side
,IZF037 RA,FENDER RH W/O S.L HOLE,Isuzu,D-MAX,8-97234-752-6,1,3.15,3.84,0.06,"2,002","2,004",,,,,
,IZF037 RA,FENDER RH W/O S.L HOLE,Isuzu,ISUZU D- MAX,8-97234-752-6,1,3.26,3.57,0.06,"2,002","2,004",,,,,
13,IZF047 RD,FENDER SINGE CAB W/O S.L HOLE RH SINGLE CAB,Isuzu,D-MAX EX,8-97387-361-0,1,2.81,3.35,0.07,"2,006","2,008",,,,,
,IZF047 LD,FENDER SINGLE CAB W/O S.L HOLE LHSINGLE CAB,Isuzu,D-MAX EX,8-97387-362-0,1,2.63,3.58,0.07,"2,006","2,008",,,,,
7,8-97374-639-0,FENDER W/O S.L HOLE LH 4WD,Isuzu,D-MAX,8-97374-639-0,1,4.57,4.89,0.05,"2,004","2,005",,Fender,,Front,Left Side
,8-97374-638-0,FENDER W/O S.L HOLE RH 4WD,Isuzu,D-MAX,8-97374-638-0,1,4.81,4.6,0.06,"2,004","2,005",,Fender,,Front,Right Side
6,FDF103 LA,FENDER W/O SIDE LAMP HOLE LH,Ford,FIGO,"1,904,951",1,3.33,4.11,0.06,"2,016","2,016",,,,,
,FDF103 RA,FENDER W/O SIDE LAMP HOLE RH,Ford,FIGO,"1,904,950",1,3.33,4.45,0.06,"2,016","2,016",,,,,
14,FDF029 LD,FENDER W/SIDE LAMP,Ford,RANGER,U8V8-3NWOI-GA,1,3.85,3.87,0.07,"1,999","2,002",,,,,
7,FDF103 LB,FENDER W/SIDE LAMP HOLE LH,Ford,FIGO,"1,904,951",1,3.14,3.94,0.06,"2,016","2,016",,,,,
,FDF103 RB,FENDER W/SIDE LAMP HOLE RH,Ford,FIGO,"1,904,950",1,3.28,3.79,0.06,"2,016","2,016",,,,,
,FDF029 RD,FENDER W/SIDE LAMP RH,Ford,RANGER,36T2-2DKHZ-K8,1,3.52,3.9,0.07,"1,999","2,002",,,,,
13,8-97387-373-1,FENDER W/SP. HOLES NO SIDE LAMP LH (10),Isuzu,D-MAX,8-97387-373-1,1,5.02,4.75,0.2,"2,008","2,010",,Fender,,Front,Left Side
,8-97387-371-1,FENDER W/SP. HOLES NO SIDE LAMP RH (10),Isuzu,D-MAX,8-97387-371-1,1,5.22,4.76,0.21,"2,008","2,010",,Fender,,Front,Right Side
,UA6G-51-W60C92 A,"FENDER(L),OVER-RR",Ford,EVEREST,UA6G-51-W60C92,1,0.9,2.27,0.14,"2,011","2,014",,Fender,,Front,Left Side
3,UA6G-51-W50C92 A,"FENDER(R),OVER-RR",Ford,EVEREST,UA6G-51-W50C92,1,11.86,2.26,0.69,"2,011","2,014",,Fender,,Front,Right Side
15,UH78-51-851B,FLAP(L)FRONT,Ford,FORD,UH78-51-851B,1,0.29,0.29,0.01,"1,999","2,002",,Fender,,Front,Right Side
10,FDFL045 NA,FOG LAMP ( R=L ),Ford,FOCUS,2N11-15201-AB,10,15.51,12.77,0.03,"2,007","2,010",,,,,
12,FDFL015 NA,FOG LAMP (R=L),Ford,FIESTA,2A11-15201-AB,1,28.61,5.21,0.07,"2,009","2,010",,,,,
7,FDFL045 NA,FOG LAMP (R=L),Ford,FOCUS,2N11-15201-AB,10,1.28,9.21,0.03,"2,007","2,010",,,,,
8,FDFL045 NB,FOG LAMP (R=L) LED.,Ford,FOCUS,2N11-15201-AB,10,7.61,2.02,0.03,"2,007","2,010",,,,,
,EB3B-15-A255AB,FOG LAMP ASSY LH,Ford,RANGER,EB3Z-15-201A,1,0.85,0.82,0.01,"2,016","2,018",,Side Skirt,,Front,Left Side
4,EB3B-15-A254AB,FOG LAMP ASSY RH,Ford,RANGER,EB3Z-15-200B,1,0.73,0.73,0.01,"2,016","2,018",,Fog Lamp,,Front,Right Side
2,4F93-15-K201AA,FOG LAMP ASSY RH/LH,Ford,RANGER,4F93-15-K201AA,1,0.25,0.32,0,"2,013","2,018",,Fog Lamp,,Front,Set
2,2N11-15-201AB,FOG LAMP ASY- FRT,Ford,ECOSPORT,2N11-15-201AB,1,19.86,8.75,0.58,"2,013","2,016",,Fog Lamp,,Front,Center
10,FDFC015 LA,FOG LAMP COVER,Ford,FIESTA,8A6G-15A223-C,100,3.19,2.75,0.07,"2,009","2,010",,,,,
,FDFC015 RA,FOG LAMP COVER,Ford,FIESTA,8A6G-15A222-C,100,2.65,3.09,0.07,"2,009","2,010",,,,,
4,IZFC055 LA,FOG LAMP COVER 2WD LH,Isuzu,D-MAX,8-98099-828-1,30,4.06,5.18,0.08,"2,012","2,016",,,,,
,IZFC055 RA,FOG LAMP COVER 2WD RH,Isuzu,D-MAX,8-98099-827-1,30,3.75,4.8,0.09,"2,012","2,016",,,,,
10,FDFC011 LA,FOG LAMP COVER LH,Ford,FIESTA,3N21-19953-BWA,1,9.35,5.75,1.04,"2,003","2,003",,,,,
12,FDFC011 LB,FOG LAMP COVER LH,Ford,FIESTA,4N21-19953-ABW,1,16.11,12.14,0.37,"2,005","2,005",,,,,
13,FDFC037 LA,FOG LAMP COVER LH,Ford,DURATORQUE,UD2D-50-C21B,30,2.36,3.39,0.07,"2,009","2,010",,,,,
13,FDFC039 LA,FOG LAMP COVER LH,Ford,RANGER,UC9N-50-C21C,1,0.07,0.08,0,"2,011","2,012",,,,,
3,AB39-17-777AD,FOG LAMP COVER LH,Ford,RANGER,AB39-17-777AD,1,0.74,0.94,0,"2,012","2,015",,Fog Lamp,,Front,Left Side
2,FDFC115 LA,FOG LAMP COVER LH,Ford,TAURUS,DG1Z-17E811-BA,50,0.04,4.58,5.14,"2,015","2,019",,,,,
7,IZFC037 LA,FOG LAMP COVER LH,Isuzu,D-MAX,8-97302-015-1,20,1.47,2.68,0.05,"2,002","2,003",,,,,
14,UD2F-50-C11A50,FOG LAMP COVER LH BLACK W/HOLE,Ford,NEW RANGER,UD2F-50-C11A50,1,0.2,0.31,0.01,"2,009","2,009",,Fog Lamp,,Front,Left Side
,FDFC045 LB,FOG LAMP COVER LH W/ HOLE,Ford,FOCUS,5M51-15A246-BA,1,2.03,17.24,0.82,"2,007","2,008",,,,,
,FDFC047 LB,FOG LAMP COVER LH W/ HOLE,Ford,FOCUS,8M51-19952-AE,1,5.44,15.33,0.91,"2,009","2,010",,,,,
,FDFC051 LB,FOG LAMP COVER LH W/ HOLE,Ford,FOCUS,8M51-19953-BB,1,7.37,8.89,0.58,"2,010","2,010",,,,,
8,FDFC041 LB,FOG LAMP COVER LH W/HOLE,Ford,FORD-FOCUS,4M51-19953-A/1337349,1,7.38,10.48,1.96,"2,005","2,005",,,,,
7,FDFC041 LA,FOG LAMP COVER LH W/O HOLE,Ford,FORD-FOCUS,4M51-19952-B,1,12.94,12.86,0.68,"2,005","2,005",,,,,
,FDFC045 LA,FOG LAMP COVER LH W/O HOLE,Ford,FOCUS,7M51-15A246-AA,1,9.55,15.1,0.54,"2,007","2,008",,,,,
,FDFC047 LA,FOG LAMP COVER LH W/O HOLE,Ford,FOCUS,8M51-19953-BE,1,12.83,7.89,0.00001,"2,009","2,010",,,,,
,FDFC051 LA,FOG LAMP COVER LH W/O HOLE,Ford,FOCUS,8M59-19953-BB,1,30.46,4.68,0.65,"2,010","2,010",,,,,
14,IZFC047 NA,FOG LAMP COVER LH/RH,Isuzu,D-MAX PLATINUM,8-98007-157-1,140,4.82,5.87,0.06,"2,008","2,009",,,,,
3,CN15-15-B217BA5SM3,FOG LAMP COVER MOULDING(CP) LH,Ford,ECOSPORT,CN15-15-B217BA5SM3,1,1.33,10.43,0.11,"2,013","2,016",,Fog Lamp,,Front,Left Side
,CN15-15-B216BA5SM3,FOG LAMP COVER MOULDING(CP) RH,Ford,ECOSPORT,CN15-15-B216BA5SM3,1,10.56,3.55,0.24,"2,013","2,016",,Fog Lamp,,Front,Right Side
6,IZFC055 SA,FOG LAMP COVER R/LH (CP),Isuzu,D-MAX,ZSTU-7LROG-8Z,1,16.02,16.75,0.83,"2,012","2,016",,,,,
,FDFC011 RA,FOG LAMP COVER RH,Ford,FIESTA,3N21-19952-BWA,1,7.59,4.49,0.01,"2,003","2,003",,,,,
,FDFC011 RB,FOG LAMP COVER RH,Ford,FIESTA,4N21-19952-ABW,1,5.04,6.91,0.65,"2,005","2,005",,,,,
,FDFC037 RA,FOG LAMP COVER RH,Ford,DURATORQUE,UD2D-50-C11B,30,2.42,3.57,0.08,"2,009","2,010",,,,,
,FDFC039 RA,FOG LAMP COVER RH,Ford,RANGER,UC9N-50-C11C,1,0.07,0.08,0,"2,011","2,012",,,,,
,AB39-17-778AD,FOG LAMP COVER RH,Ford,RANGER,AB39-17-778AD,1,0.72,0.84,0,"2,012","2,015",,Fog Lamp,,Front,Right Side
,FDFC115 RA,FOG LAMP COVER RH,Ford,TAURUS,DG1Z-17E810-BA,50,0.04,5.37,5.57,"2,015","2,019",,,,,
,IZFC037 RA,FOG LAMP COVER RH,Isuzu,D-MAX,8-97302-014-1,20,1.64,2.69,0.05,"2,002","2,003",,,,,
,UD2F-50-C21A50,FOG LAMP COVER RH BLACK W/HOLE,Ford,NEW RANGER,UD2F-50-C21A50,1,0.1,0.11,0,"2,009","2,009",,Fog Lamp,,Front,Right Side
6,FDFC045 RB,FOG LAMP COVER RH W/ HOLE,Ford,FOCUS,5M51-15A245-BA,1,3.95,10.51,0.48,"2,007","2,008",,,,,
12,FDFC047 RB,FOG LAMP COVER RH W/ HOLE,Ford,FOCUS,8M51-19951-AE,1,15.43,2.23,0.6,"2,009","2,010",,,,,
4,FDFC051 RB,FOG LAMP COVER RH W/ HOLE,Ford,FOCUS,8M51-19952-BB,1,16.22,7.89,1,"2,010","2,010",,,,,
,FDFC041 RB,FOG LAMP COVER RH W/HOLE,Ford,FORD-FOCUS,4M51-19952-A/1337347,1,4.9,6.18,1.34,"2,005","2,005",,,,,
,FDFC003 RA,FOG LAMP COVER RH W/O HOLE,Ford,BANTAM,8N29F01921AA,60,4.09,4.98,0.07,"2,009","2,010",,,,,
,FDFC041 RA,FOG LAMP COVER RH W/O HOLE,Ford,FORD-FOCUS,4M51-19951-B,1,14.19,15.58,0.42,"2,005","2,005",,,,,
5,FDFC045 RA,FOG LAMP COVER RH W/O HOLE,Ford,FOCUS,7M51-15A245-AA,1,11.06,2.91,0.8,"2,007","2,008",,,,,
11,FDFC047 RA,FOG LAMP COVER RH W/O HOLE,Ford,FOCUS,8M51-19952-BE,1,3.16,13.73,0.22,"2,009","2,010",,,,,
3,FDFC051 RA,FOG LAMP COVER RH W/O HOLE,Ford,FOCUS,8M59-19952-BB,1,10.12,8.8,1.32,"2,010","2,010",,,,,
11,FDFC015 LB,FOG LAMP COVER SPORT TYPE,Ford,FIESTA,8A69-15A223-C,100,2.85,3.03,0.08,"2,009","2,010",,,,,
,FDFC015 RB,FOG LAMP COVER SPORT TYPE,Ford,FIESTA,8A6G-15A222-C,100,2.55,3.12,0.07,"2,009","2,010",,,,,
,FDFC003 RB,FOG LAMP COVER W/ HOLE RH,Ford,BANTAM,8N29F01921BB,60,6.39,6.02,0.07,"2,009","2,010",,,,,
1,UD2F-50-C21B50,FOG LAMP COVER W/HOLE,Ford,RANGER,UD2F-50-C21B50,1,0.19,0.28,0,"2,009","2,009",,Fog Lamp,,Front,Right Side
11,FDFC089 LC,FOG LAMP COVER W/HOLE & DRL LH,Ford,RANGER WILDTRAK,W5H0-0G71E-SL,1,7.96,2.5,1.32,"2,022","2,022",,,,,
,FDFC089 RC,FOG LAMP COVER W/HOLE & DRL RH,Ford,RANGER WILDTRAK,ESRD-JLB8H-7W,1,0.33,9.34,0.05,"2,022","2,022",,,,,
5,FDFC003 LB,FOG LAMP COVER W/HOLE LH,Ford,BANTAM,8N29F01920BB,60,6.74,5.59,0.07,"2,009","2,010",,,,,
9,FDFC017 LB,FOG LAMP COVER W/HOLE LH,Ford,FIESTA,C1BB-15A222-D,20,22.99,25.58,0.48,"2,013","2,014",,,,,
6,FDFC081 LB,FOG LAMP COVER W/HOLE LH,Ford,RANGER,EB3B-15-A299BB,40,3.87,5.38,0.08,"2,015","2,016",,,,,
9,FDFC111 LB,FOG LAMP COVER W/HOLE LH,Ford,RANGER RAPTOR,T5P7-L1VD0-Y5,1,5.33,23.38,0.01,"2,022","2,022",,,,,
10,FDFC089 LB,FOG LAMP COVER W/HOLE LH,Ford,RANGER WILDTRAK,VVUK-AFUF1-NN,1,1.4,8.17,0.67,"2,022","2,022",,,,,
5,IZFC055 LB,FOG LAMP COVER W/HOLE LH,Isuzu,D-MAX,8-98099-825-1,1,0.15,0.16,0.08,"2,012","2,016",,,,,
4,GMFC017 LB,FOG LAMP COVER W/HOLE LH( BASE BK/CP MOULDING),GMC,YUKON,"22,936,427",1,0.31,10.14,1.73,"2,015","2,020",,,,,
,FDFC017 RB,FOG LAMP COVER W/HOLE RH,Ford,FIESTA,C1BB-15A222-C,20,25.35,28.49,0.37,"2,013","2,014",,,,,
,FDFC081 RB,FOG LAMP COVER W/HOLE RH,Ford,RANGER,EB3B-15-A298BB,40,4.89,5.36,0.07,"2,015","2,016",,,,,
,FDFC111 RB,FOG LAMP COVER W/HOLE RH,Ford,RANGER RAPTOR,QGKE-ML3SO-E4,1,4.55,15.3,0.07,"2,022","2,022",,,,,
,FDFC089 RB,FOG LAMP COVER W/HOLE RH,Ford,RANGER WILDTRAK,C983-RPZGB-JN,1,14.04,3.14,2.44,"2,022","2,022",,,,,
,IZFC055 RB,FOG LAMP COVER W/HOLE RH,Isuzu,D-MAX,8-98099-824-1,1,0.15,0.17,0.1,"2,012","2,016",,,,,
,GMFC017 RB,FOG LAMP COVER W/HOLE RH( BASE BK/CP MOULDING),GMC,YUKON,"22,936,426",1,0.32,3.22,1.11,"2,015","2,020",,,,,
4,FDFC003 LA,FOG LAMP COVER W/O HOLE,Ford,BANTAM,8N29F01920AA,60,3.54,4.4,0.07,"2,009","2,010",,,,,
15,FDFC065 LA,FOG LAMP COVER W/O HOLE LH,Ford,ECOSPORT,CN15-15A299-BBW,1,3.55,24.78,0.24,"2,013","2,016",,,,,
8,FDFC017 LA,FOG LAMP COVER W/O HOLE LH,Ford,FIESTA,D5BB-15A222-H,20,24.19,25.34,0.46,"2,013","2,014",,,,,
5,FDFC081 LA,FOG LAMP COVER W/O HOLE LH,Ford,RANGER,EB3B-15-A299AB,40,4.76,5.33,0.07,"2,015","2,016",,,,,
11,FDFC086 LA,FOG LAMP COVER W/O HOLE LH,Ford,RANGER,W82L-T59NJ-F5,1,0.77,12.63,1.28,"2,022","2,022",,,,,
,FDFC065 RA,FOG LAMP COVER W/O HOLE RH,Ford,ECOSPORT,CN15-15A298-BBW,1,1.18,20.5,0.16,"2,013","2,016",,,,,
,FDFC017 RA,FOG LAMP COVER W/O HOLE RH,Ford,FIESTA,D5BB-15A222-G,20,29.03,25.08,0.38,"2,013","2,014",,,,,
,FDFC081 RA,FOG LAMP COVER W/O HOLE RH,Ford,RANGER,EB3B-15-A298AB,40,4.1,6.28,0.06,"2,015","2,016",,,,,
,FDFC086 RA,FOG LAMP COVER W/O HOLE RH,Ford,RANGER,Q3OJ-MVE3F-JE,1,13.04,19.88,0.86,"2,022","2,022",,,,,
12,FDFC086 LB,FOG LAMP COVER W/O HOLE W/DRL LH,Ford,RANGER,86MT-JKNPG-SE,1,1.17,25.78,0.77,"2,022","2,022",,,,,
1,FDFC087 LB,FOG LAMP COVER W/O HOLE W/DRL LH,Ford,RANGER SPORT,3GWL-TXGNS-D1,1,4.65,18.18,0.88,"2,022","2,022",,,,,
,FDFC086 RB,FOG LAMP COVER W/O HOLE W/DRL RH,Ford,RANGER,PZ44-AO6GY-8H,1,22.59,5.4,0.87,"2,022","2,022",,,,,
,FDFC087 RB,FOG LAMP COVER W/O HOLE W/DRL RH,Ford,RANGER SPORT,2AXX-0JP9T-21,1,2.57,5.75,0.95,"2,022","2,022",,,,,
1,FDFC065 LB,FOG LAMP COVER WITH HOLE LH,Ford,ECOSPORT,CN15-15-A299CA5ZCT,1,0.08,0.1,0,"2,013","2,016",,,,,
4,FDFC093 LA,FOG LAMP COVER WITH HOLE LH,Ford,TOURNEO COURIER,RMRN-QR8NI-4S,1,9.25,0.94,0.28,"2,014","2,015",,,,,
,FDFC065 RB,FOG LAMP COVER WITH HOLE RH,Ford,ECOSPORT,CN15-15-A298CA5ZCT,1,0.08,0.09,0,"2,013","2,016",,,,,
,FDFC093 RA,FOG LAMP COVER WITH HOLE RH,Ford,TOURNEO COURIER,R1NL-F3F3O-M9,1,5.27,21.84,0.51,"2,014","2,015",,,,,
11,FDFL011 LA,FOG LAMP LH,Ford,FIESTA,3N21-15K202-AA,1,21.88,2.4,0.86,"2,003","2,003",,,,,
13,FDFL011 LB,FOG LAMP LH,Ford,FIESTA,4N21-15K202-AA,1,17.64,15.96,0.15,"2,005","2,005",,,,,
9,FDFL041 LA,FOG LAMP LH,Ford,FORD-FOCUS,3M51-15K202-AA,1,4.81,11.99,0.18,"2,005","2,005",,,,,
14,FDFL037 LA,FOG LAMP LH,Ford,RANGER,UR82-51-690,24,12.77,18.19,0.1,"2,006","2,009",,,,,
11,FDFL037 LA,FOG LAMP LH,Ford,RANGER,UR82-51-690A,24,13.99,16.51,0.1,"2,009","2,010",,,,,
12,UR82-51-690A,FOG LAMP LH,Ford,RANGER,UR82-51-690A,1,0.31,0.37,0.01,"2,010","2,010",,Fog Lamp,,Front,Center
,FDFL039 LA,FOG LAMP LH,Ford,RANGER,JV8U-EXAFW-SA,24,12.81,18.68,0.09,"2,011","2,012",,,,,
,FDFL087 LA,FOG LAMP LH,Ford,RANGER,JX7Z-152-01A,1,5.54,7.36,1.2,"2,022","2,022",,,,,
6,CVFL021 LA,FOG LAMP LH,GMC,SIERRA,77HW-K3FUS-64,1,5.37,9.94,0.24,"2,016","2,017",,,,,
8,IZFC030 LA,FOG LAMP LH,Isuzu,ISUZU,8-97918-517-0,20,5.82,7.14,0.08,"2,000","2,000",,,,,
1,IZFL055 LA,FOG LAMP LH,Isuzu,D-MAX,8-98169-680-0,8,11.69,15.39,0.1,"2,012","2,016",,,,,
13,8-98030-125-0,FOG LAMP LH 4WD 4DOOR,Isuzu,COROLADO,8-98030-125-0,1,0.44,0.53,0,"2,004","2,006",,Fog Lamp,,Front,Left Side
6,IZFL037 LA,FOG LAMP LH WITH WIRE,Isuzu,ISUZU D-MAX,8-97237-590-1,40,9.15,10.31,0.14,"2,002","2,002",,,,,
1,UC9M-51-590,FOG LAMP R/L,Ford,RANGER,UC9M-51-590,1,0.14,0.3,0,"2,011","2,012",,Fog Lamp,,Front,Set
,FDFL011 RA,FOG LAMP RH,Ford,FIESTA,3N21-15K201-AA,1,10.1,10.49,0.54,"2,003","2,003",,,,,
,FDFL011 RB,FOG LAMP RH,Ford,FIESTA,4N21-15K201-AA,1,5.54,9.74,1.27,"2,005","2,005",,,,,
,FDFL041 RA,FOG LAMP RH,Ford,FORD-FOCUS,3M51-15K201-AA,1,9.94,6.2,0.21,"2,005","2,005",,,,,
,FDFL037 RA,FOG LAMP RH,Ford,RANGER,UR82-51-680,24,13.58,15.39,0.11,"2,006","2,009",,,,,
,FDFL037 RA,FOG LAMP RH,Ford,RANGER,UR82-51-680A,24,12.34,17.23,0.1,"2,009","2,010",,,,,
,UR82-51-680A,FOG LAMP RH,Ford,RANGER,UR82-51-680A,1,0.28,0.35,0,"2,010","2,010",,Fog Lamp,,Front,Right Side
12,FDFL039 RA,FOG LAMP RH,Ford,RANGER,GKN7-W4JCH-O9,24,14.31,16.01,0.12,"2,011","2,012",,,,,
10,FDFL087 RA,FOG LAMP RH,Ford,RANGER,JX7Z-152-00A,1,11.81,21.22,1.69,"2,022","2,022",,,,,
,CVFL021 RA,FOG LAMP RH,GMC,SIERRA,6MPI-9FAWT-AV,1,10.35,1.41,0.98,"2,016","2,017",,,,,
,IZFC030 RA,FOG LAMP RH,Isuzu,ISUZU,8-97918-516-0,20,6.54,7.12,0.08,"2,000","2,000",,,,,
,IZFL055 RA,FOG LAMP RH,Isuzu,D-MAX,8-98169-680-0,8,10.86,14.87,0.1,"2,012","2,016",,,,,
8,8-98226-794-0,FOG LAMP RH (G) ASSY,Isuzu,DMAX,8-98226-794-0,1,0.21,0.28,0,"2,016","2,016",,Fog Lamp,,Front,Right Side
