NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR
4.0,FDR061 LA,RADIATOR SUPPORT LOWER 1.6L,Ford,ECOSPORT,2N15-16E146-DH,1,2.610872668378632,2.823694884202041,0.0378635740978587,2007,2007
5.0,FDR061 LB,RADIATOR SUPPORT LOWER 2.0L 4X4,Ford,ECOSPORT,2N15-16E146-D,1,3.021118889891565,2.725459096336142,0.0466865677808633,2007,2007
6.0,FDBR061 NA,FRONT BUMPER REINFORCEMENT,Ford,ECOSPORT,2N15-A001K43-AC,1,3.946552049469468,4.098099859803801,0.0275449651679533,2007,2007
7.0,FDB063 NA,FRONT BUMPER W/O HOLE MAT BK,Ford,ECOSPORT,8N15-17K819-DAXWA,1,11.183376297325829,12.137761743610188,0.0507901309167203,2011,2011
8.0,FDB063 NB,FRONT BUMPER W/HOLE MAT BK,Ford,ECOSPORT,8N15-17K819-CAXWA,1,5.26074635315257,10.812229590569167,0.0445003817905721,2011,2011
9.0,FDG063 NA,GRILLE MAT BK,Ford,ECOSPORT,8N15-8200BB-XWA,1,18.96161858162761,5.972232120423238,1.0440982710062583,2011,2011
1.0,FDB065 NA,FRONT BUMPER,Ford,ECOSPORT,0O6K-0XGPA-1H,1,2.387642026986601,2.603352571088798,0.0566913634715425,2013,2016
2.0,FDP065 SA,FRONT BUMPER LOWER UPPER/LOWER,Ford,ECOSPORT,VU1G-6SDFY-J3,1,1.5649138387763477,1.742452157789891,0.0503946217903585,2013,2016
3.0,AMCN-1J-17F788AB,COVER FRONT BUMPER SV(accessories),Ford,ECOSPORT,PXF8-SXZ3J-9V,1,8.616473575913776,19.52199802006206,1.846422224757952,2013,2016
4.0,FDBF065 SA,FRONT BUMPER FINISHER SV/BK SETS,Ford,ECO SPORT,CN15-17-B968DCW (IN),10,12.930566300694306,16.54122861163553,0.1504190870945254,2013,2016
5.0,FDG065 NA,GRILLE BK WITH CP MOULDING SETS,Ford,ECOSPORT,CN15-17F003-AC5ZC,1,1.7300510771118238,1.785729875515734,0.0131229529041962,2013,2016
6.0,CN15-8C-436AA5UA2,GRILLE ASSY RADIATO,Ford,ECOSPORT,CN15-8C-436AA5UA2,1,18.24721242031825,11.891540936419142,0.3693844724327992,2013,2016
7.0,EN15-8C-436AA5SM3,RADIATOR GRILLE CHROME UPPER,Ford,ECOSPORT,EN15-8C-436AA5SM3,1,0.0797252080910801,0.5055000265033996,0.020138485772249,2015,2018
8.0,CN15-8C-436CA5UA,BUMPER FINISHER MOULDING LOWER,Ford,ECOSPORT,CN15-8C-436CA5UA,1,3.0796465488344027,5.611770582240471,0.5074196175579803,2013,2016
9.0,EN15-8C-436BA5UA2,BUMPER FINISHER MOULDING MIDDLE,Ford,ECOSPORT,EN1Z-84-19BA,1,0.0634463525510669,0.3633422972826774,0.015743670191533,2013,2016
10.0,FDB066 NA,REAR BUMPER,Ford,ECOSPORT,CN15-17K835-DCW,1,10.55661990547376,0.8367701212405997,0.0296133777906962,2013,2016
11.0,FDS066 LA,SIDE BUMPER REAR LH,Ford,ECOSPORT,CN15-17E783-ABW,1,10.83864784018246,2.02004132801687,0.243006425246476,2013,2016
,FDS066 RA,SIDE BUMPER REAR RH,Ford,ECOSPORT,CN15-17W782-ABW,1,7.890828353595534,37.70807511071606,0.1752336906886988,2013,2016
12.0,CN15-13-W030EB,H/LAMP & FLSR ASY L*,Ford,ECOSPORT,CN15-13-W030EB,1,10.128687170182689,10.164369147499846,0.7975577839393795,2013,2016
,CN15-13-W029EB,H/LAMP & FLSR ASY R*,Ford,ECOSPORT,CN15-13-W029EB,1,5.232164638340428,10.024287046332873,0.8777558811070426,2013,2016
13.0,FDHL065 LA,HEAD LAMP RH,Ford,ECOSPORT,CN15-13-W030EB,1,8.24470563270681,12.19337102685964,0.2349583810227312,2013,2016
,FDHL065 RA,HEAD LAMP LH,Ford,ECOSPORT,CN15-13-W029EB,1,2.011798034520576,8.822611128123887,1.5193030625906607,2013,2016
14.0,CN15-13-W029EC,HEAD LAMP ASSY RH,Ford,ECOSPORT,CN1Z-13-008W,1,0.7431271843597012,0.9287215041873602,0.0861702785385033,2014,2016
15.0,FDFC065 LA,FOG LAMP COVER W/O HOLE LH,Ford,ECOSPORT,CN15-15A299-BBW,1,3.54576332544532,24.78093822003581,0.243169682403862,2013,2016
,FDFC065 RA,FOG LAMP COVER W/O HOLE RH,Ford,ECOSPORT,CN15-15A298-BBW,1,1.1814760969385671,20.4974974065701,0.1589560942086319,2013,2016
1.0,FDFC065 LB,FOG LAMP COVER WITH HOLE LH,Ford,ECOSPORT,CN15-15-A299CA5ZCT,1,0.0844246986629815,0.0996272848016214,0.0042106812494198,2013,2016
,FDFC065 RB,FOG LAMP COVER WITH HOLE RH,Ford,ECOSPORT,CN15-15-A298CA5ZCT,1,0.0792759287575023,0.0940093191206306,0.004037443453406,2013,2016
2.0,2N11-15-201AB,FOG LAMP ASY- FRT,Ford,ECOSPORT,2N11-15-201AB,1,19.858133063888936,8.74624583796523,0.5787517931646864,2013,2016
3.0,CN15-15-B217BA5SM3,FOG LAMP COVER MOULDING(CP) LH,Ford,ECOSPORT,CN15-15-B217BA5SM3,1,1.326364838684756,10.432664161872475,0.1093426588573706,2013,2016
,CN15-15-B216BA5SM3,FOG LAMP COVER MOULDING(CP) RH,Ford,ECOSPORT,CN15-15-B216BA5SM3,1,10.56423416077377,3.550744727825541,0.2395781697567495,2013,2016
4.0,CN15-13-405BA,TAIL LAMP ASSY LH,Ford,ECOSPORT,CN15-13-405BA,1,0.502080623712157,0.8117495476756451,0.0166867290630948,2013,2016
,CN15-13-404BA,TAIL LAMP ASSY RH,Ford,ECOSPORT,CN15-13-404BA,1,0.4979580273777594,0.6564233179490623,0.0164761873946509,2013,2016
5.0,FDL065 LA,TAIL LAMP LH,Ford,ECOSPORT,CN15-13-405BB,1,0.8805353254042627,0.964036267460128,0.0027872689809013,2013,2016
,FDL065 RA,TAIL LAMP RH,Ford,ECOSPORT,CN15-13-404BB,1,0.6283302996250929,0.9759789884113946,0.0031489789294995,2013,2016
6.0,FDMR065 LA,DOOR MIRROR LH,Ford,ECOSPORT,9I4I-SIZ36-W7,1,4.816582920769347,23.174946714387843,0.3037087762058004,2013,2016
,FDMR065 RA,DOOR MIRROR RH,Ford,ECOSPORT,0QDT-RXG5M-JN,1,21.93496914359658,7.5392971703000145,2.467366357991,2013,2016
7.0,PCN1-5N-16612CA,HOOD ASSY,Ford,ECOSPORT,PCN1-5N-16612CA,1,14.718700093683845,24.790859025433196,0.5503813221492668,2013,2016
8.0,FDIF065 LA,INNER FENDER LH,Ford,ECOSPORT,CN15-16115-AB,20,14.446433507777812,14.035167301065949,0.0509045102668517,2013,2016
,FDIF065 RA,INNER FENDER RH,Ford,ECOSPORT,CN15-16114-AB,20,14.094614802295643,14.27976863604992,0.0485831217522819,2013,2016
9.0,CN15-N1-6746AA,INSUL HOOD PNL SND *,Ford,ECOSPORT,CN15-N-16746AA,1,15.600094560981036,0.9890955391801745,0.4799332579442816,2013,2016
10.0,FDR065 UA,RADIATOR SUPPORT UPPER,Ford,ECOSPORT,CN16-16E146-BA,1,4.392720358680605,5.259441621032707,0.0273315530649406,2013,2016
11.0,CN15-16-E146AK,RADIATOR SUPPORT UPPER,Ford,ECOSPORT,CN1Z-16-138A,1,1.7471558674735868,1.5676170646636476,0.0601978148540295,2015,2018
12.0,FDR065 LA,RADIATOR SUPPORT LOWER,Ford,ECOSPORT,CN16-16E147-AD,2,1.752529605040161,1.7040971978074595,0.1084026248860968,2013,2016
